td,code,target
T001,A005,-0.04140127388535031
T001,A006,-0.01043841336116913
T001,A007,-0.04263033565895735
T001,A011,0.10974337080783636
T001,A012,0.058011049723756924
T001,A017,0.018000000000000016
T001,A019,-0.014018691588784993
T001,A021,0.035750766087844665
T001,A024,-0.012311901504788005
T001,A029,-0.017391304347826098
T001,A030,-0.029925187032418976
T001,A031,0.01297133495115732
T001,A032,0.11679448043084405
T001,A034,0.01866666666666661
T001,A037,0.010723860589812341
T001,A038,-0.0035211267605633756
T001,A039,0.04516129032258065
T001,A041,-0.007821600931935402
T001,A043,-0.009202453987730008
T001,A045,-0.014553014553014497
T001,A046,-0.022222222222222254
T001,A050,-0.06997455470737912
T001,A051,0.046134919007586594
T001,A060,0.009188361408882129
T001,A062,0.08539469934454269
T001,A066,-0.11111614115303647
T001,A067,-0.014358974358974375
T001,A069,-0.0051672879996225145
T001,A071,0.00546569994422752
T001,A072,0.0
T001,A074,-0.058415841584158475
T001,A076,0.02708803611738153
T001,A078,-0.0515933232169955
T001,A080,0.0224719101123596
T001,A082,-0.08487804878048777
T001,A086,-0.025773195876288683
T001,A087,0.11469534050179207
T001,A092,-0.05124223602484468
T001,A094,0.0036087194047536015
T001,A101,-0.040463610022157814
T001,A106,-0.03861788617886175
T001,A108,-0.01632645872593741
T001,A110,0.018018018018018056
T001,A111,0.10499075785582246
T001,A115,0.013574660633484116
T001,A116,0.03730445246690728
T001,A117,0.009514057766969676
T001,A118,-0.029051987767584112
T001,A122,0.0135135135135136
T001,A124,0.06387225548902188
T001,A127,0.05308464849354366
T001,A128,-0.031877801759920284
T001,A132,-0.05841121495327106
T001,A135,-0.03703703703703709
T001,A144,0.024896265560165887
T001,A145,-0.025531914893617055
T001,A147,-0.04854368932038833
T001,A154,0.09319146442533888
T001,A158,-0.013081395348837229
T001,A159,-0.055718475073313734
T001,A165,0.024038461538461453
T001,A168,0.0
T001,A172,0.06393442622950829
T001,A175,0.04328165374676996
T001,A179,0.005268703898840821
T001,A181,-0.009449760765550264
T001,A184,-0.04210526315789477
T001,A185,0.04982206405693956
T001,A194,-0.07037037037037043
T001,A196,0.0
T001,A197,0.004926108374384342
T001,A202,-0.031073446327683607
T001,A204,0.00364963503649629
T001,A205,-0.012345679012345734
T001,A206,0.07168458781362007
T001,A207,-0.02114803625377648
T001,A210,0.014725568942436372
T001,A214,-0.03464566929133861
T001,A216,0.012499999999999956
T001,A217,0.07806691449814117
T001,A219,0.05288461538461542
T001,A222,0.0
T001,A223,0.05708661417322825
T001,A230,-0.09638554216867468
T001,A232,0.08740068104426779
T001,A236,0.01649326365249082
T001,A237,0.016905071521456483
T001,A238,0.08679245283018866
T001,A239,0.0078125
T001,A244,-0.015151515151515138
T001,A245,-0.009188361408882129
T001,A249,-0.07130244681745568
T001,A250,-0.06219312602291328
T001,A252,0.10649350649350643
T001,A253,0.03403403403403393
T001,A254,-0.028985507246376836
T001,A257,-0.037151702786377694
T001,A260,0.0028288543140029265
T001,A261,0.005245901639344242
T001,A265,-0.02504522443942725
T001,A270,0.003436426116838476
T001,A271,-0.04385035455212327
T001,A272,-0.21455223880597016
T001,A280,0.14944649446494473
T001,A284,-0.026476578411405268
T001,A287,-0.10410094637223977
T001,A298,-0.03692307692307695
T001,A302,0.008577343981070795
T001,A303,0.0018656716417910781
T001,A305,-0.004201680672268893
T001,A306,-0.03699673558215455
T001,A308,0.022042271698611504
T001,A310,0.036363636363636376
T001,A314,-0.045054945054945006
T001,A319,-0.0714285714285714
T001,A320,0.02000000000000001
T001,A322,-0.034666666666666617
T001,A324,0.08703071672354956
T001,A325,0.0
T001,A327,0.006191950464396356
T001,A328,-0.019407729630249282
T001,A329,0.08830883088308839
T001,A333,-0.01999617298124756
T001,A340,-0.011494252873563204
T001,A343,-0.008870090450579293
T001,A347,-0.012704174228675091
T001,A349,0.028462998102466882
T001,A352,-0.062068965517241385
T001,A355,0.05675237433402836
T001,A358,-0.02258618091307285
T001,A360,0.02720079129574681
T001,A361,-0.0344036697247706
T001,A363,0.042328042328042326
T001,A365,0.04615384615384621
T001,A366,-0.013761467889908284
T001,A369,0.08276787711580047
T001,A370,-0.06175771971496435
T001,A376,-0.03507675830060697
T001,A377,-0.03931971531564837
T001,A378,-0.057618437900128
T001,A379,0.012085612045101612
T001,A390,-0.05015956708755377
T001,A391,-0.011961722488038284
T001,A392,0.04390243902439028
T001,A394,-0.0033557046979866287
T001,A399,-0.037897325124790604
T001,A400,-0.018552875695732832
T001,A409,0.0
T001,A410,0.008152173913043459
T001,A419,-0.02754036087369416
T001,A421,0.03703703703703698
T001,A422,0.051383399209486084
T001,A424,-0.03320561941251598
T001,A426,0.07281553398058249
T001,A429,-0.06734615471536076
T001,A432,0.0006205730671289268
T001,A433,-0.003214354250623664
T001,A434,-0.017291381668946615
T001,A437,-0.008169934640522847
T001,A442,-0.06090808416389815
T001,A443,0.05892255892255883
T001,A444,0.0032573289902280145
T001,A445,-0.08203125
T001,A447,0.03153278574411812
T001,A455,-0.07975460122699385
T001,A457,0.012213740458015376
T001,A462,-0.006731620903454361
T001,A464,0.06936416184971095
T001,A468,-0.06036446469248291
T001,A469,-0.06972341126111292
T001,A473,0.0
